tottrees,Latitude,Longitude,MAP,MAT
259,-28.09718,16.8721,45,18.3
12,-28.09789,19.26644,117,20.2
29,-28.10443,20.07665,151,20.2
4,-28.10949,19.73957,135,20.1
18,-28.11809,18.7156,119,18.9
33,-28.11891,17.19656,43,19.6
1,-28.11912,18.8653,117,19.4
240,-28.12055,18.05804,98,19.3
25,-28.1207,19.29727,122,20.1
36,-28.12268,16.88844,38,18.9
62,-28.1233,19.82977,141,20.1
74,-28.12335,19.82971,141,20.1
249,-28.12796,19.43658,139,19.7
3,-28.12949,17.58019,58,20
333,-28.13097,19.78266,137,20.1
4,-28.14038,20.16923,161,20.1
198,-28.15302,20.2135,169,19.9
165,-28.15381,19.32292,124,20
45,-28.15535,17.21219,50,19.1
51,-28.16289,18.04505,97,19.3
259,-28.16665,19.82676,149,19.9
107,-28.18099,17.24091,60,18.4
261,-28.18874,19.35327,137,19.7
19,-28.20339,17.27282,56,18.9
1,-28.20482,18.30867,103,19.5
354,-28.20579,19.80805,150,20
1754,-28.21101,19.39318,142,19.5
35,-28.22153,18.26345,104,19.4
80,-28.2241,17.30565,49,19.4
79,-28.23972,17.34583,48,19.7
175,-28.24625,19.79788,168,19.6
337,-28.24767,18.01953,95,19.3
140,-28.24933,19.39572,146,19.5
81,-28.26042,18.1753,97,19.8
2,-28.27181,20.52647,178,19.7
24,-28.27634,17.3692,45,19.9
66,-28.28354,19.77178,174,19.4
51,-28.28451,18.13415,93,19.9
7,-28.29438,17.72078,84,18.9
9,-28.29795,19.39956,120,20.3
2,-28.31848,20.76592,194,19.2
22,-28.321,17.75961,90,18.8
90,-28.32306,19.78059,188,19.2
72,-28.33051,19.46323,123,20.4
89,-28.33559,19.50919,135,20.1
13,-28.33744,19.37938,112,20.7
38,-28.34025,19.41776,116,20.6
140,-28.35084,19.54805,138,20.1
30,-28.36122,19.33946,109,20.7
862,-28.36352,19.7735,201,19
48,-28.37225,19.58931,128,20.4
70,-28.37479,19.67577,117,20.9
24,-28.37586,19.29408,125,20
73,-28.37657,19.72501,146,20.1
8,-28.37937,18.46372,118,19.3
47,-28.38261,19.62798,114,20.9
706,-28.3926,19.76304,203,19
27,-28.39979,19.25307,133,19.8
1,-28.4126,17.95345,82,19.9
8,-28.41584,18.43883,115,19.3
7,-28.44877,21.37576,192,19.2
120,-28.4587,17.87296,75,20
1,-28.47064,18.07271,88,20.1
8,-28.4785,18.74872,104,20.7
4,-28.4787,18.31824,116,19.2
6,-28.4828,18.36684,116,19.2
5,-28.49508,19.17871,136,19.5
12,-28.5082,18.38161,116,19.2
78,-28.51516,18.77503,107,20.4
62,-28.52806,20.03082,155,20.3
